,valor
2022-05-07,303.3303
2022-05-06,303.2297
2022-05-05,303.1292
2022-05-04,303.0286
2022-05-03,302.9282
2022-05-02,302.8277
2022-05-01,302.7273
2022-04-30,302.6269
2022-04-29,302.5265
2022-04-28,302.4262
2022-04-27,302.3259
2022-04-26,302.2256
2022-04-25,302.1254
2022-04-24,302.0252
2022-04-23,301.9251
2022-04-22,301.8249
2022-04-21,301.7249
2022-04-20,301.6248
2022-04-19,301.5248
2022-04-18,301.4248
2022-04-17,301.3248
2022-04-16,301.2249
2022-04-15,301.125
2022-04-14,300.968
2022-04-13,300.8111
2022-04-12,300.6542
2022-04-11,300.4974
2022-04-10,300.3408
2022-04-09,300.1841
2022-04-08,300.0276
2022-04-07,299.8712
2022-04-06,299.7148
2022-04-05,299.5585
2022-04-04,299.4023
2022-04-03,299.2462
2022-04-02,299.0902
2022-04-01,298.9342
2022-03-31,298.7784
2022-03-30,298.6226
2022-03-29,298.4668
2022-03-28,298.3112
2022-03-27,298.1557
2022-03-26,298.0002
2022-03-25,297.8448
2022-03-24,297.6895
2022-03-23,297.5343
2022-03-22,297.3791
2022-03-21,297.2241
2022-03-20,297.0691
2022-03-19,296.9142
2022-03-18,296.7594
2022-03-17,296.6046
2022-03-16,296.45
2022-03-15,296.2954
2022-03-14,296.1201
2022-03-13,295.945
2022-03-12,295.77
2022-03-11,295.5951
2022-03-10,295.4204
2022-03-09,295.2457
2022-03-08,295.0711
2022-03-07,294.8966
2022-03-06,294.7222
2022-03-05,294.5479
2022-03-04,294.3738
2022-03-03,294.1997
2022-03-02,294.0257
2022-03-01,293.8519
2022-02-28,293.6781
2022-02-27,293.5044
2022-02-26,293.3309
2022-02-25,293.1574
2022-02-24,292.9841
2022-02-23,292.8108
2022-02-22,292.6377
2022-02-21,292.4646
2022-02-20,292.2917
2022-02-19,292.1188
2022-02-18,291.9461
2022-02-17,291.7735
2022-02-16,291.6009
2022-02-15,291.4285
2022-02-14,291.3601
2022-02-13,291.2918
2022-02-12,291.2235
2022-02-11,291.1551
2022-02-10,291.0868
2022-02-09,291.0185
2022-02-08,290.9503
2022-02-07,290.882
2022-02-06,290.8138
2022-02-05,290.7455
2022-02-04,290.6773
2022-02-03,290.6091
2022-02-02,290.541
2022-02-01,290.4728
2022-01-31,290.4047
2022-01-30,290.3365
2022-01-29,290.2684
2022-01-28,290.2003
2022-01-27,290.1322
2022-01-26,290.0642
2022-01-25,289.9961
2022-01-24,289.9281
2022-01-23,289.8601
2022-01-22,289.7921
2022-01-21,289.7241
2022-01-20,289.6561
2022-01-19,289.5882
2022-01-18,289.5202
2022-01-17,289.4523
2022-01-16,289.3844
2022-01-15,289.3165
2022-01-14,289.2699
2022-01-13,289.2234
2022-01-12,289.1769
2022-01-11,289.1304
2022-01-10,289.0838
2022-01-09,289.0373
2022-01-08,288.9908
2022-01-07,288.9443
2022-01-06,288.8979
2022-01-05,288.8514
2022-01-04,288.8049
2022-01-03,288.7585
2022-01-02,288.712
2022-01-01,288.6656
2021-12-31,288.6191
2021-12-30,288.5727
2021-12-29,288.5263
2021-12-28,288.4798
2021-12-27,288.4334
2021-12-26,288.387
2021-12-25,288.3406
2021-12-24,288.2942
2021-12-23,288.2479
2021-12-22,288.2015
2021-12-21,288.1551
2021-12-20,288.1088
2021-12-19,288.0624
2021-12-18,288.0161
2021-12-17,287.9697
2021-12-16,287.9234
2021-12-15,287.8771
2021-12-14,287.8761
2021-12-13,287.8752
2021-12-12,287.8742
2021-12-11,287.8732
2021-12-10,287.8723
2021-12-09,287.8713
2021-12-08,287.8704
2021-12-07,287.8694
2021-12-06,287.8684
2021-12-05,287.8675
2021-12-04,287.8665
2021-12-03,287.8656
2021-12-02,287.8646
2021-12-01,287.8637
2021-11-30,287.8627
2021-11-29,287.8617
2021-11-28,287.8608
2021-11-27,287.8598
2021-11-26,287.8589
2021-11-25,287.8579
2021-11-24,287.8569
2021-11-23,287.856
2021-11-22,287.855
2021-11-21,287.8541
2021-11-20,287.8531
2021-11-19,287.8521
2021-11-18,287.8512
2021-11-17,287.8502
2021-11-16,287.8493
2021-11-15,287.8483
2021-11-14,287.8131
2021-11-13,287.7779
2021-11-12,287.7426
2021-11-11,287.7074
2021-11-10,287.6722
2021-11-09,287.6371
2021-11-08,287.6019
2021-11-07,287.5667
2021-11-06,287.5315
2021-11-05,287.4963
2021-11-04,287.4611
2021-11-03,287.426
2021-11-02,287.3908
2021-11-01,287.3557
2021-10-31,287.3205
2021-10-30,287.2853
2021-10-29,287.2502
2021-10-28,287.2151
2021-10-27,287.1799
2021-10-26,287.1448
2021-10-25,287.1097
2021-10-24,287.0745
2021-10-23,287.0394
2021-10-22,287.0043
2021-10-21,286.9692
2021-10-20,286.9341
2021-10-19,286.899
2021-10-18,286.8639
2021-10-17,286.8288
2024-02-15,363.5460728200409
2024-03-15,366.06991150826394
2024-04-15,367.6283927537552
2024-05-15,367.8905478000917
2024-06-15,367.76005782141897
2024-07-15,368.37965666095266
2024-08-15,369.7860208117733
2024-09-15,370.70534854004336
2024-10-15,370.5864760486731
2024-11-15,371.3987611055585
2024-12-15,375.12694943759897
2025-01-15,380.3642939849974
2025-02-15,384.86129300143966
2025-03-15,386.82805413615966
2025-04-15,387.8666500241103
2025-05-15,387.5939476073334
2025-06-15,387.00224315496905
2025-07-15,387.26302253136254
2025-08-15,388.42701470050645
2025-09-15,389.1604595678951
2025-10-15,388.8694572650234
2025-11-15,389.6301347391482
2025-12-15,393.5071370655349
2026-01-15,399.0136038865189
2026-02-15,403.7716958783845
2026-03-15,405.901433755124
2026-04-15,407.0671455822674
2026-05-15,406.8622596312209
2026-06-15,406.3150847792889
2026-07-15,406.65373163532104
2026-08-15,407.9235328773474
2026-09-15,408.7230811057467
2026-10-15,408.43356997506044
2026-11-15,409.2372518322571
2026-12-15,413.30555689508714
2027-01-15,419.07863688437357
2027-02-15,424.06259056471987
2027-03-15,426.2820056340922
2027-04-15,427.4887648254482
2027-05-15,427.2566371099036
2027-06-15,426.66822461437107
2027-07-15,427.0136748811494
2027-08-15,428.3424072337868
2027-09-15,429.1839377141131
2027-10-15,428.8896935984309
2027-11-15,429.7498810472619
2027-12-15,434.0431727604309
2028-01-15,440.1285168616926
2028-02-15,445.38283891437464
2028-03-15,447.7314187866148
2028-04-15,449.0099325965286
2028-05-15,448.7709216736605
2028-06-15,448.15219133575965
2028-07-15,448.5098638375572
2028-08-15,449.8967466976636
2028-09-15,450.76964728268626
2028-10-15,450.44753707035375
2028-11-15,451.33737124336517
2028-12-15,455.83193462479386
2029-01-15,462.2086743821002
2029-02-15,467.7147365087325
2029-03-15,470.1696153121283
2029-04-15,471.50338408931606
2029-05-15,471.2462597010641
2029-06-15,470.59400972549645
2029-07-15,470.9710169307737
2029-08-15,472.4334078096776
2029-09-15,473.36076970625794
2029-10-15,473.03906624738124
2029-11-15,473.9952744317876
2029-12-15,478.7445111845987
2030-01-15,485.4781510684423
2030-02-15,491.3009890717767
2030-03-15,493.9310933643014
2030-04-15,495.3898944387511
2030-05-15,495.1875397598322
2030-06-15,494.57595787784385
2030-07-15,495.0573565178336
2030-08-15,496.6892785644471
2030-09-15,497.76467859941704
2030-10-15,497.5354192890917
2030-11-15,498.6477888902187
2030-12-15,503.75202554807316
2031-01-15,510.93930655925027
2031-02-15,517.1506535170075
2031-03-15,519.9971583448281
2031-04-15,521.593967389196
2031-05-15,521.4306836462458
2031-06-15,520.8237888601695
2031-07-15,521.3595220423609
2031-08-15,523.0990099735371
