fecha,precio_interno_carga,precio_almendra_sana,incentivo_calidad
2022-07-10,2348000,,
2022-07-11,2365000,,
2022-07-12,2310000,,
2022-07-13,2245000,,
2022-07-14,2135000,,
2022-07-15,2105000,,
2022-07-16,2105000,,
2022-07-17,2105000,,
2022-07-18,2210000,,
2022-07-19,2227000,,
2022-07-20,2243000,,
2022-07-21,2276000,,
2022-07-22,2213000,,
2022-07-23,2213000,,
2022-07-24,2213000,,
2022-07-25,2248000,,
2022-07-26,2267000,,
2022-07-27,2303000,,
2022-07-28,2275000,,
2022-07-29,2225000,,
2022-07-30,2225000,,
2022-07-31,2225000,,
2022-08-01,2187000,,
2022-08-02,2180000,,
2022-08-03,2212000,,
2022-08-04,2247000,,
2022-08-05,2190000,,
2022-08-06,2190000,,
2022-08-07,2190000,,
2022-08-08,2195000,,
2022-08-09,2217000,,
2022-08-10,2240000,,
2022-08-11,2255000,,
2022-08-12,2245000,,
2022-08-13,2245000,,
2022-08-14,2245000,,
2022-08-15,2238000,,
2022-08-16,2243000,,
2022-08-17,2273000,,
2022-08-18,2274000,,
2022-08-19,2285000,,
2022-08-20,2285000,,
2022-08-21,2285000,,
2022-08-22,2368000,,
2022-08-23,2408000,,
2022-08-24,2530000,,
2022-08-25,2525000,,
2022-08-26,2515000,,
2022-08-27,2515000,,
2022-08-28,2515000,,
2022-08-29,2480000,,
2022-08-30,2500000,,
2022-08-31,2505000,,
2022-09-01,2514000,,
2022-09-02,2480000,,
2022-09-03,2480000,,
2022-09-04,2480000,,
2022-09-05,2480000,,
2022-09-06,2492000,,
2022-09-07,2384000,,
2022-09-08,2373000,,
2022-09-09,2405000,,
2022-09-10,2405000,,
2022-09-11,2405000,,
2022-09-12,2375000,,
2022-09-13,2368000,,
2022-09-14,2309000,,
2022-09-15,2330000,,
2022-09-16,2325000,,
2022-09-17,2325000,,
2022-09-18,2325000,,
2022-09-19,2362000,,
2022-09-20,2402000,,
2022-09-21,2360000,,
2022-09-22,2356000,,
2022-09-23,2367000,,
2022-09-24,2367000,,
2022-09-25,2367000,,
2022-09-26,2404000,,
2022-09-27,2430000,,
2022-09-28,2434000,,
2022-09-29,2430000,,
2022-09-30,2435000,,
2022-10-01,2435000,,
2022-10-02,2435000,,
2022-10-03,2348000,,
2022-10-04,2362000,,
2022-10-05,2445000,,
2022-10-06,2395000,,
2022-10-07,2405000,,
2022-10-08,2405000,,
2022-10-09,2405000,,
2022-10-10,2400000,,
2022-10-11,2396000,,
2022-10-12,2323000,,
2022-10-13,2225000,,
2022-10-14,2245000,,
2022-10-15,2245000,,
2022-10-16,2245000,,
2022-10-17,2230000,,
2022-10-18,2250000,,
2022-10-19,2254000,,
2022-10-20,2265000,,
2022-10-21,2265000,,
2022-10-22,2265000,,
2022-10-23,2265000,,
2022-10-24,2285000,,
2022-10-25,2252000,,
2022-10-26,2160000,,
2022-10-27,2129000,,
2022-10-28,2040000,,
2022-10-29,2040000,,
2022-10-30,2040000,,
2022-10-31,2142000,,
2022-11-01,2125000,,
2022-11-02,2180000,,
2022-11-03,2110000,,
2022-11-04,2130000,,
2022-11-05,2130000,,
2022-11-06,2130000,,
2022-11-07,2070000,,
2022-11-08,1992000,,
2022-11-09,1939000,,
2022-11-10,1962000,,
2022-11-11,1965000,,
2022-11-12,1965000,,
2022-11-13,1965000,,
2022-11-14,1954000,,
2022-11-15,1905000,,
2022-11-16,1925000,,
2022-11-17,1918000,,
2022-11-18,1907000,,
2022-11-19,1907000,,
2022-11-20,1907000,,
2022-11-21,1945000,,
2022-11-22,1975000,,
2022-11-23,1950000,,
2022-11-24,1950000,,
2022-11-25,1963000,,
2022-11-26,1963000,,
2022-11-27,1963000,,
2022-11-28,1930000,,
2022-11-29,1980000,,
2022-11-30,1997000,,
2022-12-01,1920000,,
2022-12-02,1895000,,
2022-12-03,1895000,,
2022-12-04,1895000,,
2022-12-05,1920000,,
2022-12-06,1925000,,
2022-12-07,1892000,,
2022-12-08,1877000,,
2022-12-09,1865000,,
2022-12-10,1865000,,
2022-12-11,1865000,,
2022-12-12,1967000,,
2022-12-13,1942000,,
2022-12-14,1949000,,
2022-12-15,1991000,,
2022-12-16,1918000,,
2022-12-17,1918000,,
2022-12-18,1918000,,
2022-12-19,1914000,,
2022-12-20,1943000,,
2022-12-21,1959000,,
2022-12-22,1952000,,
2022-12-23,1970000,,
2022-12-24,1970000,,
2022-12-25,1970000,,
2022-12-26,1970000,,
2022-12-27,1930000,,
2022-12-28,1998000,,
2022-12-29,1995000,,
2022-12-30,1968000,,
2022-12-31,1968000,,
2023-01-01,1968000,,
2023-01-02,1968000,,
2023-01-03,1979000,,
2023-01-04,1942000,,
2023-01-05,1947000,,
2023-01-06,1885000,,
2023-01-07,1885000,,
2023-01-08,1885000,,
2023-01-09,1885000,,
2023-01-10,1791000,,
2023-01-11,1696000,,
2023-01-12,1731000,,
2023-01-13,1760000,,
2023-01-14,1760000,,
2023-01-15,1760000,,
2023-01-16,1760000,,
2023-01-17,1768000,,
2023-01-18,1795000,,
2023-01-19,1780000,,
2023-01-20,1750000,,
2023-01-21,1750000,,
2023-01-22,1750000,,
2023-01-23,1772000,,
2023-01-24,1775000,,
2023-01-25,1797000,,
2023-01-26,1835000,,
2023-01-27,1885000,,
2023-01-28,1885000,,
2023-01-29,1885000,,
2023-01-30,1920000,,
2023-01-31,2030000,,
2023-02-01,1958000,,
2023-02-02,1975000,,
2023-02-03,1960000,,
2023-02-04,1960000,,
2023-02-05,1960000,,
2023-02-06,2025000,,
2023-02-07,2013000,,
2023-02-08,2010000,,
2023-02-09,1985000,,
2023-02-10,2020000,,
2023-02-11,2020000,,
2023-02-12,2020000,,
2023-02-13,2035000,,
2023-02-14,2103000,,
2023-02-15,2095000,,
2023-02-16,2125000,,
2023-02-17,2160000,,
2023-02-18,2160000,,
2023-02-19,2160000,,
2023-02-20,2160000,,
